Beer,2011-11-29,2011-12-15,2011-12-29,2012-01-12,2012-01-17 (Delivery),2012-02-02,2012-03-01,2012-03-07 (Delivery),2012-03-16,2012-03-21 (after BBQ),2012-03-26 (Delivery),2012-03-27,2012-05-25 (before BBQ),2012-05-28 (after BBQ)
Hop Devil IPA,24,12,8,1,24,12,2,24,19,12,0,8,0,0
Stone Levitation Ale,24,8,2,0,24,19,7,0,6,0,0,24,11,8
Prima Pils,24,19,17,15,0,10,0,24,24,18,0,18,9,8
Golden Monkey,0,0,0,0,24,11,4,24,24,22,0,18,2,0
Storm King Stout,0,0,0,0,0,0,0,0,0,0,24,23,13,7
Gold Pale Ale,0,0,0,0,24,20,6,0,5,2,0,1,0,0
Hop Ottin IPA,24,18,17,15,0,12,6,0,3,3,0,2,0,0
Little Creatures Pale Ale,0,0,0,0,0,0,0,0,0,0,24,24,14,0
Little Creatures Bright Ale,0,0,0,0,0,0,0,0,0,0,24,24,24,21
Hoegaarden,24,23,19,16,0,11,0,24,22,18,0,18,4,0
Heineken (can),24,24,24,24,0,22,10,0,11,4,0,4,1,1
Heineken (bottle),0,0,0,0,0,0,0,0,0,0,24,24,24,21
Tiger (bottle),24,21,21,20,0,14,0,24,18,17,0,17,13,11
Asahi,24,20,19,18,0,11,0,24,23,6,24,35,10,6
Sapporo,24,23,18,16,0,0,0,24,22,6,24,29,2,0
Mom Hefeweizen 650ml,14,11,11,11,0,6,6,0,6,6,0,6,5,4
Arrogant Bastard 650ml,4,4,4,4,0,3,1,0,1,0,0,0,0,0
Oaked Arrogant Bastard,0,0,0,0,0,0,0,0,0,0,24,22,16,10
Chimay Red,0,0,0,0,0,0,0,12,3,2,0,0,0,0
Duvel,0,0,0,0,0,0,0,12,5,2,0,0,0,0
Erdinger Dunkel,1,1,1,1,0,1,1,0,1,0,0,0,0,0
Lychee,0,0,0,0,0,0,0,0,0,0,24,24,23,15
Honeydew Melon,0,4,4,3,0,2,2,0,2,0,0,0,0,0
Pipsqueak Cider,0,4,3,0,0,0,0,0,0,0,0,0,0,0
Mocha Porter,6,4,4,3,0,1,0,0,0,0,0,0,0,0
Tiger (can),0,9,8,8,0,4,0,0,0,0,0,0,16,14
Carlsberg (can),0,0,0,0,0,0,0,0,0,0,0,0,14,12
